typeDesordre,Algorithme,Taille,Désordre,Comparaisons,Temps,Affectations,Accès_aux_données
partielleDebut,tri_fusion,100,25.0,376,0.00638,1344,2768
partielleMilieu,tri_fusion,100,25.0,350,0.00122,1344,2716
partielleFin,tri_fusion,100,25.0,377,0.00111,1344,2770
partielleAlea,tri_fusion,100,25.0,498,0.00115,1344,3012
partielleDebutInverse,tri_fusion,100,25.0,352,0.00142,1344,2720
partielleMilieuInverse,tri_fusion,100,25.0,351,0.00160,1344,2718
partielleFinInverse,tri_fusion,100,25.0,354,0.00160,1344,2724
partielleAleaInverse,tri_fusion,100,25.0,468,0.00245,1344,2952
partielleDebut,tri_fusion,100,50.0,431,0.00121,1344,2878
partielleMilieu,tri_fusion,100,50.0,405,0.00116,1344,2826
partielleFin,tri_fusion,100,50.0,422,0.00127,1344,2860
partielleAlea,tri_fusion,100,50.0,522,0.00140,1344,3060
partielleDebutInverse,tri_fusion,100,50.0,405,0.00180,1344,2826
partielleMilieuInverse,tri_fusion,100,50.0,408,0.00138,1344,2832
partielleFinInverse,tri_fusion,100,50.0,399,0.00125,1344,2814
partielleAleaInverse,tri_fusion,100,50.0,491,0.00133,1344,2998
partielleDebut,tri_fusion,100,75.0,475,0.00251,1344,2966
partielleMilieu,tri_fusion,100,75.0,479,0.00161,1344,2974
partielleFin,tri_fusion,100,75.0,492,0.00122,1344,3000
partielleAlea,tri_fusion,100,75.0,537,0.00268,1344,3090
partielleDebutInverse,tri_fusion,100,75.0,494,0.00142,1344,3004
partielleMilieuInverse,tri_fusion,100,75.0,477,0.00141,1344,2970
partielleFinInverse,tri_fusion,100,75.0,467,0.00119,1344,2950
partielleAleaInverse,tri_fusion,100,75.0,536,0.00112,1344,3088
partielleDebut,tri_par_tas,100,25.0,777,0.00138,637,2828
partielleMilieu,tri_par_tas,100,25.0,586,0.00102,516,2204
partielleFin,tri_par_tas,100,25.0,759,0.00166,626,2770
partielleAlea,tri_par_tas,100,25.0,743,0.00152,616,2718
partielleDebutInverse,tri_par_tas,100,25.0,589,0.00173,535,2248
partielleMilieuInverse,tri_par_tas,100,25.0,584,0.00116,518,2204
partielleFinInverse,tri_par_tas,100,25.0,573,0.00125,515,2176
partielleAleaInverse,tri_par_tas,100,25.0,600,0.00115,539,2278
partielleDebut,tri_par_tas,100,50.0,753,0.00198,620,2746
partielleMilieu,tri_par_tas,100,50.0,581,0.00119,510,2182
partielleFin,tri_par_tas,100,50.0,731,0.00192,616,2694
partielleAlea,tri_par_tas,100,50.0,722,0.00135,618,2680
partielleDebutInverse,tri_par_tas,100,50.0,607,0.00112,541,2296
